ID,Precio,Referencia,Ubicacion,Ciudad,Habitaciones,Banos,Superficie,Planta,Web,Fecha,Enlace
160823411,1450,Eixample,2,1,70,Entresuelo,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado-parking/160823411/d,Fotocasa,Barcelona,156562737,2022-04-03
163127400,1550,Sarrià - Sant Gervasi,2,2,105,12ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-parking/163127400/d,Fotocasa,Barcelona,160823412,2022-04-03
159623358,1150,Ciutat Vella,1,1,20,Subsótano,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-television-internet/159623358/d,Fotocasa,Barcelona,163127401,2022-04-03
163129526,1550,Eixample,3,1,147,1ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/163129526/d,Fotocasa,Barcelona,159623359,2022-04-03
19770978,3451,Obra Nueva Sarrià - Sant Gervasi,4,2,129,Ascensor,https://www.fotocasa.es/es/alquiler/vivienda/obra-nueva/barcelona-capital/19770978/160738816,Fotocasa,Barcelona,163129527,2022-04-03
163132700,900,Ciutat Vella,1,1,40,Terraza,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza/163132700/d,Fotocasa,Barcelona,19770979,2022-04-03
163103956,850,Sarrià - Sant Gervasi,2,1,55,2ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-no-amueblado/163103956/d,Fotocasa,Barcelona,163132701,2022-04-03
163128733,1350,Sarrià - Sant Gervasi,1,1,52,7ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/163128733/d,Fotocasa,Barcelona,163103957,2022-04-03
163124863,790,Sarrià - Sant Gervasi,2,70,2ª,NA,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/sarria/163124863/d,Fotocasa,Barcelona,163128734,2022-04-03
163123098,1500,Sarrià - Sant Gervasi,3,3,120,Bajos,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-zona-comunitaria-ascensor-amueblado-parking-television-internet-piscina/163123098/d,Fotocasa,Barcelona,163124864,2022-04-03
19799149,1230,Sants - Montjuïc,1,1,3992,1ª,https://www.fotocasa.es/es/alquiler/vivienda/obra-nueva/barcelona-capital/19799149/161527010,Fotocasa,Barcelona,163123099,2022-04-03
163105035,2750,Sant Martí,2,2,113,+15,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-ascensor-amueblado-piscina/163105035/d,Fotocasa,Barcelona,19799150,2022-04-03
163102150,1200,Horta - Guinardó,3,1,80,5ª,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/calefaccion-terraza-ascensor/163102150/d,Fotocasa,Barcelona,163105036,2022-04-03
162410906,1100,Sarrià - Sant Gervasi,1,1,54,Ascensor,https://www.fotocasa.es/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado/162410906/d,Fotocasa,Barcelona,163102151,2022-04-03
